"#","","Zip Code","Stat","Tower Name","Address","Unit Number","Current Price","Approx Liv Area","Beds Total","Baths Total","Actual Close Date","Total Monthly CIC","DOM","Sold Term","List Agent Full Name","List Agent ID","Selling Agent Full Name","Selling/Showing Agent ID"
"1","2623325","89109","S","TURNBERRY PLACE","2857 Paradise RD","505","$550,000","1,556","2","2","12/24/2024","$933.00","22","Cash","Maria C. Antikoll","213839","Tamra J. Trainer","006514"
"1","2633570","89109","S","TRUMP INTERNATIONAL HOTEL LAS VEGAS","2000 North Fashion Show DR","4517","$295,000","533","0","1","12/23/2024","$650.00","5","Cash","Sachie McQueen","234002","Sau Lan Woo","096291"
"1","2605118","89103","S","PALMS PLACE","4381 West Flamingo RD","2416","$300,000","615","0","1","12/23/2024","$781.00","133","Cash","Manya Avetisyan","226482","Marissa Anderson","231992"
"1","2591789","89109","S","TURNBERRY TOWERS","222 Karen AVE","1903","$390,000","814","1","2","12/23/2024","$599.00","171","CONV","Margo Smith","242704","Gina Chen","227669"
"1","2615263","89169","S","PLATINUM HOTEL","211 East Flamingo RD","1101","$280,000","918","1","1","12/20/2024","$669.33","62","CONV","Keith Lynam","515","Nubar Karapetyan","241264"
"1","2614622","89103","S","PALMS PLACE","4381 West Flamingo RD","2319","$255,000","615","0","1","12/20/2024","$781.00","94","Cash","Jade D. Buckman","217907","Chichun Luo","250625"
"1","2611994","89103","S","PALMS PLACE","4381 West Flamingo RD","3509","$258,000","636","0","1","12/20/2024","$806.00","87","Cash","N Shaun Marion","007429","Chichun Luo","250625"
"1","2613816","89109","S","TURNBERRY TOWERS","322 Karen AVE","804","$353,000","814","1","2","12/20/2024","$573.00","80","Cash","Cristine Rosa Lefkowitz","203771","Cristine Rosa Lefkowitz","203771"
"1","2600449","89109","S","SIGNATURE AT MGM GRAND","135 East Harmon AVE","3818","$330,000","520","0","1","12/18/2024","$870.00","88","1031 Exchange","Jim R. Brooks","203473","Karen Gradington","224989"
"1","2610465","89109","S","TURNBERRY PLACE","2777 Paradise RD","1502","$1,020,000","2,805","2","3","12/18/2024","$1,549.00","65","1031 Exchange","James P. Navarro","097170","Jena McIntosh","200868"
"1","2582495","89109","S","SIGNATURE AT MGM GRAND","125 East HARMON AVE","820","$360,000","874","1","2","12/17/2024","$1,760.00","154","CONV","Jim R. Brooks","203473","Devan L. Reaves","248992"
"1","2633546","89109","S","SKY LAS VEGAS","2700 Las Vegas BLVD","2411","$419,900","985","1","1","12/17/2024","$681.00","14","Cash","Jody Fassette","235644","Karen E. Pohl","254710"
"1","2603539","89102","S","ALLURE","200 West Sahara AVE","2108","$556,000","1,828","3","2","12/17/2024","$1,371.00","85","CONV","Jim R. Brooks","203473","Tyler Shelton","209932"
"1","2627299","89109","S","TRUMP INTERNATIONAL HOTEL LAS VEGAS","2000 North Fashion Show DR","2416","$258,000","533","0","1","12/16/2024","$625.00","22","CONV","Kevyn Morelos Ruelas","242881","Kevyn Morelos Ruelas","242881"
"1","2633242","89109","S","SKY LAS VEGAS","2700 Las Vegas BLVD","1010","$532,000","1,248","2","2","12/16/2024","$861.00","3","Cash","Randall J. Char","228885","Brian D. Petruzzelli","228132"
"1","2614079","89103","S","PANORAMA TOWERS","4525 Dean Martin DR","3304","$2,750,000","5,201","3","4","12/13/2024","$4,449.00","81","Cash","Michael L. Zelina","230397","Michael L. Zelina","230397"
"1","2558200","89109","S","SIGNATURE AT MGM GRAND","135 East Harmon AVE","3602/3604","$772,000","874","2","3","12/13/2024","$2,348.00","300","Cash","Jonathan Magno","011785","Miles McCormick","240824"
"1","2589085","89011","S","VIERA","30 Strada Di Villaggio","630","$340,000","678","1","1","12/13/2024","$760.00","176","Cash","Dianne Lewis","207627","Dana Benrud","210747"
"1","2632320","89109","S","SIGNATURE AT MGM GRAND","145 HARMON AVE","2620","$390,000","874","1","2","12/12/2024","$1,756.00","20","Cash","Heidi L. Williams","229220","Tanya Smith","098879"
"1","2631207","89101","S","SOHO LOFTS","900 Las Vegas BLVD","1408","$430,000","1,320","1","2","12/12/2024","$672.00","21","Cash","Chrisian Salazar","235078","John Davis","239300"
"1","2623033","89109","S","SKY LAS VEGAS","2700 Las Vegas BLVD","3906","$550,000","1,100","2","2","12/12/2024","$760.00","59","Cash","Tanya Smith","098879","Kristine M. Murray","236821"
"1","2602140","89109","S","TRUMP INTERNATIONAL HOTEL LAS VEGAS","2000 Fashion Show DR","2608","$270,000","534","0","1","12/11/2024","$624.25","6","Cash","Rebecca R. Hinson","246777","Bret P. Wulf","227896"
"1","2620417","89101","S","JUHL","353 East Bonneville AVE","912","$420,000","1,332","1","2","12/10/2024","$731.00","53","CONV","Michael M Cheung","208355","Deryck Campbell","238212"
"1","2585991","89101","S","NEWPORT LOFTS","200 Hoover AVE","1001","$300,000","911","0","1","12/10/2024","$599.00","169","Cash","Suni R. Stewart","246380","Todd Beeten","208336"
"1","2495925","89158","S","VEER CITYCENTER","3726 Las Vegas BLVD","3208","$550,000","838","1","1","12/10/2024","$882.00","570","Cash","Tin Cheung Barry Lee","227678","Fariba Raouf","200720"
"1","2618894","89109","S","TURNBERRY TOWERS","322 Karen AVE","2203","$430,000","814","1","2","12/09/2024","$571.00","68","Cash","Mario Vitale","246207","Kaitlyn Pizzoferrato","247463"
"1","2624620","89169","S","CASABLANCA","730 South Royal Crest CIR","436","$196,000","1,122","2","2","12/09/2024","$590.00","26","Cash","Tilman Otto","206969","Joey Gaede","231389"
"1","2583743","89101","S","JUHL","353 East Bonneville AVE","137","$495,000","1,244","1","2","12/06/2024","$710.00","191","Cash","Dennis Powell Jr","210176","Katherine Mae Clemmons","209954"
"1","2570423","89109","S","SKY LAS VEGAS","2700 Las Vegas BLVD","4301","$3,200,000","5,147","4","6","12/06/2024","$3,734.00","130","Other","Frank Napoli II","096832","Meeta Jethani","251484"
